lane,subdomain,context_id,target,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,ambiguity_lid,ambiguity_index,is_real_data,rmse_bestfit,chi2_bestfit,nfw_rmse,burkert_rmse,p_nfw,p_burkert,verdict_good
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO563-G021_burkert,enclosed_mass,1.8004422822781614,18.621333530538674,4.568084857700111,178022.4521209299,3.0,,0.04219448540234899,,0.7546854069173656,0.2453145930826344,,0.0,5445.059836326292,1,13.541980651057276,207.81849500650094,50.21537083969008,13.541980651057276,2.2253513869082654e-210,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO563-G021_burkert,halo_family_label,1.8004422822781614,18.621333530538674,0.9999999999586942,178022.4521209299,3.0,,2.2253513869082654e-210,,0.9462981532273878,0.05370184677261223,4.450702773816531e-210,0.0,5445.059836326292,1,13.541980651057276,207.81849500650094,50.21537083969008,13.541980651057276,2.2253513869082654e-210,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO563-G021_burkert,local_profile_class,1.8004422822781614,18.621333530538674,0.9999999999586942,178022.4521209299,3.0,,7.942488589402285e-205,,0.9462981532273878,0.05370184677261223,1.588497717880457e-204,0.0,5445.059836326292,1,13.541980651057276,207.81849500650094,50.21537083969008,13.541980651057276,2.2253513869082654e-210,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO563-G021_burkert,fine_latent_geometry,1.8004422822781614,18.621333530538674,8.300889544536707,178022.4521209299,3.0,,0.003170920970494667,,0.5542269015844978,0.44577309841550217,,0.0,5445.059836326292,1,13.541980651057276,207.81849500650094,50.21537083969008,13.541980651057276,2.2253513869082654e-210,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,F563-1_burkert,enclosed_mass,1.7263472243434204,9.664759647272401,2.0488518799977644,5973.992683063208,3.0,,0.24905921842259174,,0.7880079841844806,0.21199201581551938,,1.0,29.70660917272338,1,7.682079242178384,9.279068767875218,23.401973209906185,7.682079242178384,2.208588660418414e-23,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,F563-1_burkert,halo_family_label,1.7263472243434204,9.664759647272401,0.9999999999586942,5973.992683063208,3.0,,2.208588660418414e-23,,0.896531312060004,0.10346868793999603,4.417177320836828e-23,1.0,29.70660917272338,1,7.682079242178384,9.279068767875218,23.401973209906185,7.682079242178384,2.208588660418414e-23,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,F563-1_burkert,local_profile_class,1.7263472243434204,9.664759647272401,0.059640512238211096,5973.992683063208,3.0,,0.35722959416630473,,0.9938290744503882,0.006170925549611873,0.7144591883326095,1.0,29.70660917272338,1,7.682079242178384,9.279068767875218,23.401973209906185,7.682079242178384,2.208588660418414e-23,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,F563-1_burkert,fine_latent_geometry,1.7263472243434204,9.664759647272401,5.114335310307137,5973.992683063208,3.0,,0.028881032384791953,,0.4708264357354701,0.5291735642645299,,1.0,29.70660917272338,1,7.682079242178384,9.279068767875218,23.401973209906185,7.682079242178384,2.208588660418414e-23,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,F568-3_burkert,enclosed_mass,1.8910611120726526,10.570491986660675,2.088072284779594,4890.360170609162,3.0,,0.2419827787573264,,0.8024621477018652,0.1975378522981348,,1.0,90.9470164679409,1,6.043984613908084,14.929057470292038,26.23110522238758,6.043984613908084,3.7227092572017453e-35,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,F568-3_burkert,halo_family_label,1.8910611120726526,10.570491986660675,0.9999999999586942,4890.360170609162,3.0,,3.7227092572017453e-35,,0.9053970239776319,0.09460297602236811,7.445418514403491e-35,1.0,90.9470164679409,1,6.043984613908084,14.929057470292038,26.23110522238758,6.043984613908084,3.7227092572017453e-35,0.9999999999989999,0
