battlefield,subdomain,context_id,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,closure_defect,cco,ambiguity_lid,ambiguity_index,retained_energy,observability_rank,bayes_error,is_real_data,flow_monotone,verdict_good,compatibility_lift_ref
hidden_inference,sparc_rotation_curve,NGC0100_halo_only,1.7956828983511026,1.2759041675938674,0.9983636725938131,14927.999748339873,2.0,,4.6451659681619,,0.2175245618355861,0.7824754381644139,0.0,,,0.0,0.0019123517176847604,,,0.0,1,,1,0.148241075554706
hidden_inference,sparc_rotation_curve,NGC0100_halo_plus_bary,1.7956828983511026,1.2447126422579817,0.9983636725938132,9747.89340757989,3.0,,3.956561568911463,,0.19791633932252595,0.802083660677474,0.0,,,0.0,0.015765187341109523,,,0.0,1,,1,0.148241075554706
hidden_inference,sparc_rotation_curve,NGC0247_halo_only,1.730242340656556,0.9479440468857769,1.0,91618.94496700549,2.0,,2.6129492908948904,,0.0,1.0,0.0,,,0.0,0.00026400563068161424,,,0.0,1,,1,-0.30774884007681136
hidden_inference,sparc_rotation_curve,NGC0247_halo_plus_bary,1.730242340656556,1.0883857566705166,1.0,26199.57030900011,3.0,,3.4170814043473197,,0.08120811589899679,0.9187918841010032,0.0,,,0.0,0.004764464101737901,,,0.0,1,,1,-0.30774884007681136
hidden_inference,sparc_rotation_curve,NGC0289_halo_only,1.8453657445737646,1.8192300332930778,0.38780557661910287,151376.48348188173,2.0,,23.50446253811324,,0.7868298293662639,0.21317017063373614,0.2908163265306122,,,0.0,0.00017587708758854737,,,0.25,1,,0,0.5762235125520441
hidden_inference,sparc_rotation_curve,NGC0289_halo_plus_bary,1.8453657445737646,2.0246353877399743,0.33894609253872277,48495.78215887576,3.0,,9.960638573753696,,0.8325890703130129,0.16741092968698712,0.3188775510204081,,,0.0,0.0010632418044899926,,,0.25000000000000006,1,,0,0.5762235125520441
hidden_inference,sparc_rotation_curve,NGC0300_halo_only,2.28151018873626,1.0171245697587874,0.9988455359952016,53475.600201571026,2.0,,3.962308439074365,,0.017971283269580862,0.9820287167304191,0.0,,,0.0,0.00037003931321403306,,,0.0,1,,1,0.011621697050256773
hidden_inference,sparc_rotation_curve,NGC0300_halo_plus_bary,2.28151018873626,1.0171245697587874,0.9988455359952016,29195.709405723646,3.0,,3.916259690775767,,0.017971283269580862,0.9820287167304191,0.0,,,0.0,0.008470822054562148,,,0.0,1,,1,0.011621697050256773
hidden_inference,sparc_rotation_curve,NGC0891_halo_only,2.0441104177484006,1.3097059205887551,0.46058300308073974,581363.5742991222,2.0,,17.984118803467563,,0.6483309758012754,0.35166902419872453,0.26666666666666666,,,0.0,7.047977479170933e-05,,,0.2222222222222222,1,,0,0.41535801444553216
hidden_inference,sparc_rotation_curve,NGC0891_halo_plus_bary,2.0441104177484006,1.7527152789797042,0.6666666666666667,288858.97804816207,3.0,,10.514270925706716,,0.6196377844924427,0.38036221550755733,0.16666666666666669,,,0.0,0.0005005088158496062,,,0.16666666666666669,1,,0,0.41535801444553216
