family_id,mode,descriptor_signature,n,k_contexts,m_per_context,total_budget,stack_rank,local_exact_all,shared_exact,shared_aug_threshold,shared_aug_found,context_invariance_gap,cid,stack_alignment,stack_residual,notes
ctxfam_293,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,2.274534881,1.0,0.0,local_exact_global_fail
ctxfam_296,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,4.221984482,1.0,0.0,local_exact_global_fail
ctxfam_301,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,2.1050890848,1.0,0.0,local_exact_global_fail
ctxfam_305,local_only,n6|k4|m2|r5|b8,6,4,2,8,5,1,0,1,1,1,2.962925491,1.0,0.0,local_exact_global_fail
ctxfam_306,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,6.128667707,1.0,0.0,local_exact_global_fail
ctxfam_309,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,3.9100036658,1.0,0.0,local_exact_global_fail
ctxfam_313,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,6.0132674969,1.0,0.0,local_exact_global_fail
ctxfam_316,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,1,1,1,2.0132713073,1.0,0.0,local_exact_global_fail
ctxfam_318,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,1,1,1,3.2098690524,1.0,0.0,local_exact_global_fail
ctxfam_320,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,2.5657354145,1.0,0.0,local_exact_global_fail
ctxfam_323,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,2.7552112181,1.0,0.0,local_exact_global_fail
ctxfam_331,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,5.1983693422,1.0,0.0,local_exact_global_fail
