family_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,shared_exact,context_invariance_gap,cid,mean_local_dls,joint_dls,stack_alignment,stack_residual,stack_logdet_info,rank_only_pred_shared,budget_only_pred_shared,enlarged_shared_exact,enlarged_local_exact_all,enlargement_flip,shared_aug_threshold,shared_aug_found,shared_aug_rows,shared_aug_residual,notes
ctxfam_1447,drift_prone,5,4,2,8,5,n5|k4|m2|r5|b8,0,0,0,0.0525101368,0.0,0.0,1.0,0.0,-68.4756799673,1,1,0,0,0,2,1,2,0.0,
ctxfam_1448,mixed_random,5,4,2,8,5,n5|k4|m2|r5|b8,0,0,0,5.2991294371,0.75,0.0,1.0,0.0,-42.7966211175,1,1,0,0,0,3,1,3,0.0,
ctxfam_1449,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,1,4.117035499,0.0,0.0,1.0,0.0,-21.0973023082,0,1,0,1,0,1,1,1,0.0,
ctxfam_1450,drift_prone,6,2,2,4,3,n6|k2|m2|r3|b4,0,0,0,4.2125985348,0.0,0.0,0.0869738104,4.1840116254,-17.1373169853,0,0,0,0,0,,0,,,
ctxfam_1451,drift_prone,4,4,2,8,4,n4|k4|m2|r4|b8,0,0,0,2.7184740858,0.0,0.0,1.0,0.0,-73.603716181,1,1,0,0,0,3,1,3,0.0,
ctxfam_1452,local_only,4,2,2,4,3,n4|k2|m2|r3|b4,1,1,0,0.0,0.0,0.0,1.0,0.0,-8.7242172129,0,1,0,1,1,0,1,0,0.0,
ctxfam_1453,drift_prone,6,2,2,4,3,n6|k2|m2|r3|b4,0,0,0,4.3917996437,0.0,0.0,0.154703845,4.3101815893,-16.5290155838,0,0,0,0,0,4,1,4,0.0,
ctxfam_1454,redundant_measurement,4,5,2,10,1,n4|k5|m2|r1|b10,0,0,0,2.4494897428,0.8928571429,0.8928571429,0.367544468,2.4494897428,-160.3700256793,0,1,0,0,0,3,1,3,0.0,
ctxfam_1455,shared_exact,5,5,2,10,2,n5|k5|m2|r2|b10,0,0,0,1.4432473672,0.0,0.0,0.3545601557,1.4432473672,-136.9387135812,0,1,0,0,0,2,1,2,0.0,
ctxfam_1456,shared_exact,4,3,2,6,2,n4|k3|m2|r2|b6,0,0,0,2.0326997151,0.0,0.0,0.3572039101,2.0326997151,-66.2814913792,0,1,0,0,0,2,1,2,0.0,
ctxfam_1457,local_only,6,4,2,8,5,n6|k4|m2|r5|b8,1,0,1,4.9705405011,0.0,0.0,1.0,0.0,-37.7090599829,0,1,0,1,0,1,1,1,0.0,
ctxfam_1458,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,1,3.9381734349,0.0,0.0,1.0,0.0,-23.7271590864,0,1,0,1,0,1,1,1,0.0,
ctxfam_1459,local_only,5,2,2,4,3,n5|k2|m2|r3|b4,1,0,1,1.7616092372,0.0,0.0,1.0,0.0,-7.5569809884,0,0,0,1,0,2,1,2,0.0,
ctxfam_1460,local_only,5,3,2,6,4,n5|k3|m2|r4|b6,1,0,1,2.9825945314,0.0,0.0,1.0,0.0,-23.1143935061,0,1,0,1,0,1,1,1,0.0,
ctxfam_1461,mixed_random,7,3,2,6,6,n7|k3|m2|r6|b6,0,0,0,5.4781339056,0.9860441186,0.0,0.4247962827,3.0975668152,12.1500365645,0,0,0,0,0,,0,,,
ctxfam_1462,redundant_measurement,6,2,2,4,1,n6|k2|m2|r1|b4,0,0,0,3.6055512755,0.829787234,0.829787234,0.0690506637,3.6055512755,-49.4937200897,0,0,0,0,0,,0,,,
