witness_id,family,n,m_total,rank,total_info,descriptor_signature,local_exact,global_exact,dls,cid,psi,il,tsf,alignment,residual,rank_only_pred,budget_only_pred,target_class,notes
single_64,single_context,7,3,3,7.35628025,n7|m3|r3|i7.36,0,0,0.37037037,0.0,,,0.04524212,0.21270194,3.34022277,0,1,linear_scalar,
single_65,single_context,6,2,2,4.38202697,n6|m2|r2|i4.38,0,0,1.0,0.0,,,0.04788637,0.21882955,2.59084928,0,0,linear_scalar,
single_66,single_context,7,3,3,8.24459697,n7|m3|r3|i8.24,0,0,0.0,0.0,,,0.04739208,0.21769722,2.2126864,0,1,linear_scalar,
single_67,single_context,5,1,1,2.30258519,n5|m1|r1|i2.30,0,0,0.90277778,0.0,,,0.02063566,0.14365116,2.0976177,0,0,linear_scalar,
single_68,single_context,4,1,1,1.60943811,n4|m1|r1|i1.61,0,0,0.0,0.0,,,0.01114562,0.10557281,1.78885438,0,0,linear_scalar,
single_69,single_context,5,2,2,3.98898436,n5|m2|r2|i3.99,0,0,1.0,0.0,,,0.09288976,0.30477821,2.19848433,0,1,linear_scalar,
single_70,single_context,5,2,2,3.93182595,n5|m2|r2|i3.93,0,0,1.0,0.0,,,0.00211993,0.04604266,3.93326687,0,1,linear_scalar,
single_71,single_context,4,4,4,2.77264403,n4|m4|r4|i2.77,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_72,single_context,4,1,1,2.30258519,n4|m1|r1|i2.30,0,0,0.78571429,0.0,,,2.513e-05,0.00501256,3.14642654,0,0,linear_scalar,
single_73,single_context,5,3,3,5.12396517,n5|m3|r3|i5.12,0,0,0.0,0.0,,,0.59733054,0.77287162,0.55634864,0,1,linear_scalar,
single_74,single_context,5,3,3,3.85014879,n5|m3|r3|i3.85,0,0,1.0,0.0,,,0.02111475,0.14530915,2.56407256,0,1,linear_scalar,
single_75,single_context,6,2,2,4.26268019,n6|m2|r2|i4.26,0,0,1.0,0.0,,,0.00514283,0.07171354,3.07877788,0,0,linear_scalar,
single_76,single_context,5,1,1,1.38629461,n5|m1|r1|i1.39,0,0,0.87096774,0.0,,,0.0,0.0,2.64575131,0,0,linear_scalar,
single_77,single_context,7,1,1,2.39789536,n7|m1|r1|i2.40,0,0,0.86013986,0.0,,,0.05349686,0.23129389,3.26134384,0,0,linear_scalar,
