formation_case_id,mechanism,n,k_contexts,pre_local_exact,pre_shared_exact,post_local_exact,post_shared_exact,pre_context_gap,post_context_gap,pre_alignment,post_alignment,pre_dls,post_dls,structure_created_flag,recoverability_change_shared,recoverability_change_local,pre_shared_aug_threshold,post_shared_aug_threshold,threshold_flip_flag,notes
fsec_743,symmetry_breaking,7,2,0,0,1,0,0,1,0.0064493686,1.0,0.9390862944,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_744,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_745,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_746,feedback_induced_structure,6,2,0,0,0,0,0,0,0.218050436,0.1312071468,0.0,0.0,0,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_747,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_748,optimization_induced_structure,6,2,0,0,0,0,0,0,0.4114724222,0.7620779419,0.0,0.0,1,0,0,,3,1,EXPLORATION/NON-PROMOTED
fsec_749,constraint_generation,7,2,0,0,1,1,0,0,0.1634303361,1.0,1.0,0.0,1,1,1,3,0,1,EXPLORATION/NON-PROMOTED
fsec_750,symmetry_breaking,4,2,0,0,1,0,0,1,0.0326767419,1.0,1.0,0.0,1,0,1,3,1,1,EXPLORATION/NON-PROMOTED
fsec_751,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_752,intervention_generated_structure,6,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_753,feedback_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,2,2,0,EXPLORATION/NON-PROMOTED
fsec_754,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_755,optimization_induced_structure,6,2,0,0,0,0,0,0,0.1229070221,0.3637909897,1.0,1.0,1,0,0,4,,0,EXPLORATION/NON-PROMOTED
fsec_756,constraint_generation,5,2,0,0,1,1,0,0,0.7319758638,1.0,0.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_757,symmetry_breaking,4,2,0,0,1,0,0,1,0.5735985673,1.0,0.6,0.0,1,0,1,1,1,0,EXPLORATION/NON-PROMOTED
fsec_758,context_conditioned_differentiation,5,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_759,intervention_generated_structure,5,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_760,feedback_induced_structure,5,2,0,0,0,0,0,0,0.7440101575,0.740467953,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_761,local_to_global_organization,4,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_762,optimization_induced_structure,5,2,0,0,0,0,0,0,0.6963338762,0.5776316043,0.0,0.0,0,0,0,2,4,1,EXPLORATION/NON-PROMOTED
fsec_763,constraint_generation,7,2,0,0,1,1,0,0,0.3539065193,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_764,symmetry_breaking,5,2,0,0,1,0,0,1,0.0722093692,1.0,0.95,0.0,1,0,1,4,1,1,EXPLORATION/NON-PROMOTED
fsec_765,context_conditioned_differentiation,5,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_766,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_767,feedback_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,2,2,0,EXPLORATION/NON-PROMOTED
fsec_768,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_769,optimization_induced_structure,4,2,0,0,0,0,0,0,0.1982162743,0.8110177635,1.0,1.0,1,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_770,constraint_generation,6,2,0,0,1,1,0,0,0.3601146375,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_771,symmetry_breaking,6,2,0,0,1,0,0,1,0.0059702026,1.0,0.8365384615,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_772,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
