series_id,family,step,n,m_total,rank,exact,dls,alignment,flip_vs_prev,driver
single_thr_74,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_74,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_75,single_context,1,6,3,3,0,1.0,0.21995444,0,one_measurement_augmentation
single_thr_75,single_context,2,6,4,4,0,0.0,0.25814354,0,one_measurement_augmentation
single_thr_75,single_context,3,6,5,5,0,0.0,0.944481,0,one_measurement_augmentation
single_thr_76,single_context,1,5,2,2,0,0.71428571,0.00925946,0,one_measurement_augmentation
single_thr_76,single_context,2,5,3,3,0,0.0,0.68263676,0,one_measurement_augmentation
single_thr_76,single_context,3,5,4,4,0,0.0,0.82685903,0,one_measurement_augmentation
single_thr_77,single_context,1,7,2,2,0,0.63636364,0.23188543,0,one_measurement_augmentation
single_thr_77,single_context,2,7,3,3,0,0.09090909,0.23744478,0,one_measurement_augmentation
single_thr_77,single_context,3,7,4,4,0,0.0,0.68754106,0,one_measurement_augmentation
single_thr_78,single_context,1,4,3,3,0,0.0,0.59175171,0,one_measurement_augmentation
single_thr_78,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_78,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_79,single_context,1,4,3,3,0,0.0,0.34016712,0,one_measurement_augmentation
single_thr_79,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_79,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_80,single_context,1,7,3,3,0,0.0,0.13193947,0,one_measurement_augmentation
single_thr_80,single_context,2,7,4,4,0,0.0,0.14647062,0,one_measurement_augmentation
single_thr_80,single_context,3,7,5,5,0,0.0,0.67099452,0,one_measurement_augmentation
single_thr_81,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_81,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_81,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_82,single_context,1,5,3,3,0,1.0,0.51961554,0,one_measurement_augmentation
single_thr_82,single_context,2,5,4,4,0,0.0,0.59490425,0,one_measurement_augmentation
single_thr_82,single_context,3,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_83,single_context,1,4,2,2,0,1.0,0.05620113,0,one_measurement_augmentation
single_thr_83,single_context,2,4,3,3,0,0.0,0.53343053,0,one_measurement_augmentation
single_thr_83,single_context,3,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_84,single_context,1,4,5,3,0,1.0,0.29289322,0,one_measurement_augmentation
single_thr_84,single_context,2,4,6,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_84,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_85,single_context,1,4,3,3,0,0.0,0.39141938,0,one_measurement_augmentation
single_thr_85,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_85,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_86,single_context,1,5,3,2,0,1.0,0.34245369,0,one_measurement_augmentation
single_thr_86,single_context,2,5,4,3,0,0.0,0.35131512,0,one_measurement_augmentation
single_thr_86,single_context,3,5,5,4,0,0.0,0.44663937,0,one_measurement_augmentation
single_thr_87,single_context,1,6,2,2,0,0.71428571,0.05827705,0,one_measurement_augmentation
single_thr_87,single_context,2,6,3,3,0,1.0,0.14572716,0,one_measurement_augmentation
single_thr_87,single_context,3,6,4,4,0,0.0,0.18029032,0,one_measurement_augmentation
single_thr_88,single_context,1,4,2,2,0,1.0,0.07203927,0,one_measurement_augmentation
single_thr_88,single_context,2,4,3,3,0,0.0,0.08136958,0,one_measurement_augmentation
single_thr_88,single_context,3,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_89,single_context,1,6,4,4,0,0.0,0.31172898,0,one_measurement_augmentation
single_thr_89,single_context,2,6,5,5,0,0.0,0.38009987,0,one_measurement_augmentation
single_thr_89,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_90,single_context,1,4,3,3,0,0.0,0.46705196,0,one_measurement_augmentation
single_thr_90,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_90,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_91,single_context,1,5,4,4,0,0.0,0.04679375,0,one_measurement_augmentation
single_thr_91,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_91,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_92,single_context,1,6,3,3,0,1.0,0.35778435,0,one_measurement_augmentation
single_thr_92,single_context,2,6,4,4,0,1.0,0.35778679,0,one_measurement_augmentation
single_thr_92,single_context,3,6,5,5,0,0.0,0.62,0,one_measurement_augmentation
single_thr_93,single_context,1,5,4,4,0,0.0,0.79501998,0,one_measurement_augmentation
single_thr_93,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_93,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_94,single_context,1,7,5,5,0,0.0,0.49352477,0,one_measurement_augmentation
single_thr_94,single_context,2,7,6,6,0,0.0,0.61379908,0,one_measurement_augmentation
single_thr_94,single_context,3,7,7,7,1,0.0,1.0,1,one_measurement_augmentation
